Calculating solvability percentage...

[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[49.438, 58.123] | (316/271/4) | 590
[49.520, 58.196] | (317/271/4) | 591
[49.601, 58.269] | (318/271/4) | 592
[49.514, 58.176] | (318/272/4) | 593
[49.596, 58.248] | (319/272/4) | 594
[49.677, 58.321] | (320/272/4) | 595
[49.591, 58.228] | (320/273/4) | 596
[49.504, 58.135] | (320/274/4) | 597
[49.585, 58.207] | (321/274/4) | 598
[49.499, 58.115] | (321/275/4) | 599
[49.580, 58.187] | (322/275/4) | 600
[49.660, 58.258] | (323/275/4) | 601
[49.740, 58.330] | (324/275/4) | 602
[49.655, 58.238] | (324/276/4) | 603
[49.735, 58.309] | (325/276/4) | 604
[49.814, 58.380] | (326/276/4) | 605
[49.729, 58.288] | (326/277/4) | 606
[49.808, 58.359] | (327/277/4) | 607
[49.723, 58.268] | (327/278/4) | 608
[49.803, 58.339] | (328/278/4) | 609
[49.881, 58.409] | (329/278/4) | 610
[49.797, 58.318] | (329/279/4) | 611
[49.875, 58.388] | (330/279/4) | 612
[49.791, 58.298] | (330/280/4) | 613
[49.707, 58.207] | (330/281/4) | 614
[49.785, 58.277] | (331/281/4) | 615
[49.863, 58.347] | (332/281/4) | 616
[49.941, 58.417] | (333/281/4) | 617
[49.857, 58.327] | (333/282/4) | 618
[49.935, 58.396] | (334/282/4) | 619
[49.852, 58.306] | (334/283/4) | 620
[49.929, 58.376] | (335/283/4) | 621
[50.006, 58.445] | (336/283/4) | 622
[49.923, 58.355] | (336/284/4) | 623
