Calculating solvability percentage...
[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[83.103, 89.841] | (365/55/1) | 420
[83.143, 89.865] | (366/55/1) | 421
[83.181, 89.890] | (367/55/1) | 422
[83.220, 89.914] | (368/55/1) | 423
[83.259, 89.938] | (369/55/1) | 424
[83.297, 89.962] | (370/55/1) | 425
[83.335, 89.986] | (371/55/1) | 426
[83.118, 89.802] | (371/56/1) | 427
[83.157, 89.826] | (372/56/1) | 428
[83.195, 89.850] | (373/56/1) | 429
[83.233, 89.874] | (374/56/1) | 430
[83.019, 89.691] | (374/57/1) | 431
[83.057, 89.715] | (375/57/1) | 432
[83.095, 89.740] | (376/57/1) | 433
[83.133, 89.763] | (377/57/1) | 434
[82.921, 89.583] | (377/58/1) | 435
[82.959, 89.607] | (378/58/1) | 436
[82.997, 89.631] | (379/58/1) | 437
[83.035, 89.655] | (380/58/1) | 438
[83.073, 89.679] | (381/58/1) | 439
[82.863, 89.500] | (381/59/1) | 440
[82.901, 89.524] | (382/59/1) | 441
[82.939, 89.548] | (383/59/1) | 442
[82.977, 89.572] | (384/59/1) | 443
[83.014, 89.596] | (385/59/1) | 444
[83.051, 89.619] | (386/59/1) | 445
[83.088, 89.643] | (387/59/1) | 446
[82.882, 89.467] | (387/60/1) | 447
[82.920, 89.491] | (388/60/1) | 448
[82.957, 89.514] | (389/60/1) | 449
[82.993, 89.538] | (390/60/1) | 450
[83.030, 89.561] | (391/60/1) | 451
[83.067, 89.585] | (392/60/1) | 452
[83.103, 89.608] | (393/60/1) | 453
[83.140, 89.631] | (394/60/1) | 454
[83.176, 89.654] | (395/60/1) | 455
[83.212, 89.677] | (396/60/1) | 456
[83.247, 89.700] | (397/60/1) | 457
[83.283, 89.723] | (398/60/1) | 458
[83.319, 89.746] | (399/60/1) | 459
[83.354, 89.768] | (400/60/1) | 460
[83.389, 89.791] | (401/60/1) | 461
[83.189, 89.620] | (401/61/1) | 462
[83.225, 89.642] | (402/61/1) | 463
[83.260, 89.665] | (403/61/1) | 464
[83.295, 89.688] | (404/61/1) | 465
[83.330, 89.710] | (405/61/1) | 466
[83.133, 89.541] | (405/62/1) | 467
[83.168, 89.563] | (406/62/1) | 468
