[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[81.384, 93.786] | (118/14/2) | 133 (inc timeout & re-eval expected CI: 0.117) (continue same length of time expected CI: 0.110)
[81.516, 93.833] | (119/14/2) | 134 (inc timeout & re-eval expected CI: 0.117) (continue same length of time expected CI: 0.110)
[81.645, 93.880] | (120/14/2) | 135 (inc timeout & re-eval expected CI: 0.116) (continue same length of time expected CI: 0.109)
[81.772, 93.925] | (121/14/2) | 136 (inc timeout & re-eval expected CI: 0.115) (continue same length of time expected CI: 0.108)
[81.898, 93.971] | (122/14/2) | 137 (inc timeout & re-eval expected CI: 0.114) (continue same length of time expected CI: 0.107)
[81.195, 93.454] | (122/15/2) | 138 (inc timeout & re-eval expected CI: 0.116) (continue same length of time expected CI: 0.108)
[81.323, 93.502] | (123/15/2) | 139 (inc timeout & re-eval expected CI: 0.115) (continue same length of time expected CI: 0.108)
[81.449, 93.549] | (124/15/2) | 140 (inc timeout & re-eval expected CI: 0.115) (continue same length of time expected CI: 0.107)
[81.573, 93.595] | (125/15/2) | 141 (inc timeout & re-eval expected CI: 0.114) (continue same length of time expected CI: 0.106)
[81.696, 93.641] | (126/15/2) | 142 (inc timeout & re-eval expected CI: 0.113) (continue same length of time expected CI: 0.106)
[81.817, 93.687] | (127/15/2) | 143 (inc timeout & re-eval expected CI: 0.113) (continue same length of time expected CI: 0.105)
[81.146, 93.188] | (127/16/2) | 144 (inc timeout & re-eval expected CI: 0.114) (continue same length of time expected CI: 0.105)
[81.269, 93.236] | (128/16/2) | 145 (inc timeout & re-eval expected CI: 0.114) (continue same length of time expected CI: 0.105)
[81.391, 93.283] | (129/16/2) | 146 (inc timeout & re-eval expected CI: 0.113) (continue same length of time expected CI: 0.104)
[81.510, 93.330] | (130/16/2) | 147 (inc timeout & re-eval expected CI: 0.112) (continue same length of time expected CI: 0.103)
[81.629, 93.375] | (131/16/2) | 148 (inc timeout & re-eval expected CI: 0.111) (continue same length of time expected CI: 0.103)
[81.746, 93.421] | (132/16/2) | 149 (inc timeout & re-eval expected CI: 0.111) (continue same length of time expected CI: 0.103)
[81.861, 93.465] | (133/16/2) | 150 (inc timeout & re-eval expected CI: 0.110) (continue same length of time expected CI: 0.102)
[81.975, 93.509] | (134/16/2) | 151 (inc timeout & re-eval expected CI: 0.109) (continue same length of time expected CI: 0.101)
[82.087, 93.553] | (135/16/2) | 152 (inc timeout & re-eval expected CI: 0.109) (continue same length of time expected CI: 0.101)
[82.199, 93.596] | (136/16/2) | 153 (inc timeout & re-eval expected CI: 0.108) (continue same length of time expected CI: 0.100)
[82.308, 93.638] | (137/16/2) | 154 (inc timeout & re-eval expected CI: 0.108) (continue same length of time expected CI: 0.100)
[82.417, 93.680] | (138/16/2) | 155 (inc timeout & re-eval expected CI: 0.107) (continue same length of time expected CI: 0.099)
[82.524, 93.721] | (139/16/2) | 156 (inc timeout & re-eval expected CI: 0.106) (continue same length of time expected CI: 0.098)
[81.904, 93.762] | (139/16/3) | 157 (inc timeout & re-eval expected CI: 0.106) (continue same length of time expected CI: 0.102)
[82.013, 93.802] | (140/16/3) | 158 (inc timeout & re-eval expected CI: 0.106) (continue same length of time expected CI: 0.101)
[81.408, 93.841] | (140/16/4) | 159 (inc timeout & re-eval expected CI: 0.112) (continue same length of time expected CI: 0.107)
[81.518, 93.880] | (141/16/4) | 160 (inc timeout & re-eval expected CI: 0.112) (continue same length of time expected CI: 0.107)
[81.627, 93.919] | (142/16/4) | 161 (inc timeout & re-eval expected CI: 0.111) (continue same length of time expected CI: 0.106)
[81.735, 93.957] | (143/16/4) | 162 (inc timeout & re-eval expected CI: 0.110) (continue same length of time expected CI: 0.105)
[81.842, 93.995] | (144/16/4) | 163 (inc timeout & re-eval expected CI: 0.110) (continue same length of time expected CI: 0.105)
[81.947, 94.032] | (145/16/4) | 164 (inc timeout & re-eval expected CI: 0.109) (continue same length of time expected CI: 0.104)
[82.051, 94.069] | (146/16/4) | 165 (inc timeout & re-eval expected CI: 0.109) (continue same length of time expected CI: 0.104)
[82.154, 94.105] | (147/16/4) | 166 (inc timeout & re-eval expected CI: 0.108) (continue same length of time expected CI: 0.103)
[82.256, 94.141] | (148/16/4) | 167 (inc timeout & re-eval expected CI: 0.107) (continue same length of time expected CI: 0.102)
[82.356, 94.176] | (149/16/4) | 168 (inc timeout & re-eval expected CI: 0.107) (continue same length of time expected CI: 0.102)
[82.456, 94.211] | (150/16/4) | 169 (inc timeout & re-eval expected CI: 0.106) (continue same length of time expected CI: 0.101)
[81.888, 93.783] | (150/17/4) | 170 (inc timeout & re-eval expected CI: 0.108) (continue same length of time expected CI: 0.102)
[81.989, 93.820] | (151/17/4) | 171 (inc timeout & re-eval expected CI: 0.107) (continue same length of time expected CI: 0.102)
[82.088, 93.857] | (152/17/4) | 172 (inc timeout & re-eval expected CI: 0.106) (continue same length of time expected CI: 0.101)
[82.187, 93.893] | (153/17/4) | 173 (inc timeout & re-eval expected CI: 0.106) (continue same length of time expected CI: 0.100)
[82.285, 93.928] | (154/17/4) | 174 (inc timeout & re-eval expected CI: 0.105) (continue same length of time expected CI: 0.100)
[82.381, 93.964] | (155/17/4) | 175 (inc timeout & re-eval expected CI: 0.105) (continue same length of time expected CI: 0.099)
[82.477, 93.998] | (156/17/4) | 176 (inc timeout & re-eval expected CI: 0.104) (continue same length of time expected CI: 0.099)
[82.571, 94.033] | (157/17/4) | 177 (inc timeout & re-eval expected CI: 0.104) (continue same length of time expected CI: 0.098)
[82.664, 94.067] | (158/17/4) | 178 (inc timeout & re-eval expected CI: 0.103) (continue same length of time expected CI: 0.098)
[82.757, 94.100] | (159/17/4) | 179 (inc timeout & re-eval expected CI: 0.103) (continue same length of time expected CI: 0.097)
[82.848, 94.134] | (160/17/4) | 180 (inc timeout & re-eval expected CI: 0.102) (continue same length of time expected CI: 0.097)
[82.939, 94.167] | (161/17/4) | 181 (inc timeout & re-eval expected CI: 0.102) (continue same length of time expected CI: 0.096)
[83.028, 94.199] | (162/17/4) | 182 (inc timeout & re-eval expected CI: 0.101) (continue same length of time expected CI: 0.096)
[83.117, 94.231] | (163/17/4) | 183 (inc timeout & re-eval expected CI: 0.101) (continue same length of time expected CI: 0.095)
[83.205, 94.263] | (164/17/4) | 184 (inc timeout & re-eval expected CI: 0.100) (continue same length of time expected CI: 0.095)
[83.291, 94.295] | (165/17/4) | 185 (inc timeout & re-eval expected CI: 0.100) (continue same length of time expected CI: 0.094)
[83.377, 94.326] | (166/17/4) | 186 (inc timeout & re-eval expected CI: 0.099) (continue same length of time expected CI: 0.094)
[83.462, 94.357] | (167/17/4) | 187 (inc timeout & re-eval expected CI: 0.099) (continue same length of time expected CI: 0.093)
[83.547, 94.387] | (168/17/4) | 188 (inc timeout & re-eval expected CI: 0.098) (continue same length of time expected CI: 0.093)
[83.630, 94.417] | (169/17/4) | 189 (inc timeout & re-eval expected CI: 0.098) (continue same length of time expected CI: 0.093)
[83.712, 94.447] | (170/17/4) | 190 (inc timeout & re-eval expected CI: 0.097) (continue same length of time expected CI: 0.092)
[83.794, 94.476] | (171/17/4) | 191 (inc timeout & re-eval expected CI: 0.097) (continue same length of time expected CI: 0.092)
[83.875, 94.506] | (172/17/4) | 192 (inc timeout & re-eval expected CI: 0.096) (continue same length of time expected CI: 0.091)
[83.955, 94.534] | (173/17/4) | 193 (inc timeout & re-eval expected CI: 0.096) (continue same length of time expected CI: 0.093)
[83.448, 94.563] | (173/17/5) | 194 (inc timeout & re-eval expected CI: 0.095) (continue same length of time expected CI: 0.096)  (doubling timeout & re-evaluating intractable seeds)
[16.749, 100.000] | (1/0/0) | 97  (...re-evaluating...)
[9.453, 100.000] | (1/0/1) | 120  (...re-evaluating...)
[5.627, 100.000] | (1/0/2) | 157  (...re-evaluating...)
[15.004, 100.000] | (2/0/2) | 159  (...re-evaluating...)
